Date,accrualMethod,count
2025-01-01,Засоби електронного зв’язку,1
2025-01-01,Засоби телефонного зв’язку,52
2025-01-02,Засоби електронного зв’язку,1
2025-01-02,Засоби телефонного зв’язку,99
2025-01-03,Засоби електронного зв’язку,1
2025-01-03,Засоби телефонного зв’язку,94
2025-01-04,Засоби електронного зв’язку,1
2025-01-04,Засоби телефонного зв’язку,80
2025-01-05,Засоби телефонного зв’язку,69
2025-01-06,Засоби телефонного зв’язку,102
2025-01-06,Засоби електронного зв’язку,1
2025-01-07,Засоби телефонного зв’язку,111
2025-01-08,Засоби електронного зв’язку,1
2025-01-08,Засоби телефонного зв’язку,112
2025-01-09,Засоби телефонного зв’язку,99
2025-01-10,Засоби телефонного зв’язку,98
2025-01-11,Засоби електронного зв’язку,1
2025-01-11,Засоби телефонного зв’язку,67
2025-01-12,Засоби електронного зв’язку,2
2025-01-12,Засоби телефонного зв’язку,63
2025-01-13,Засоби електронного зв’язку,3
2025-01-13,Засоби телефонного зв’язку,100
2025-01-14,Засоби телефонного зв’язку,104
2025-01-15,Засоби телефонного зв’язку,120
2025-01-16,Засоби електронного зв’язку,2
2025-01-16,Засоби телефонного зв’язку,103
2025-01-17,Засоби електронного зв’язку,1
2025-01-17,Засоби телефонного зв’язку,94
2025-01-18,Засоби електронного зв’язку,2
2025-01-18,Засоби телефонного зв’язку,72
2025-01-19,Засоби телефонного зв’язку,63
2025-01-20,Засоби електронного зв’язку,2
2025-01-20,Засоби телефонного зв’язку,157
2025-01-21,Засоби телефонного зв’язку,128
2025-01-21,Засоби електронного зв’язку,1
2025-01-22,Засоби телефонного зв’язку,110
2025-01-23,Засоби електронного зв’язку,3
2025-01-23,Засоби телефонного зв’язку,119
2025-01-24,Засоби електронного зв’язку,4
2025-01-24,Засоби телефонного зв’язку,130
2025-01-25,Засоби телефонного зв’язку,79
2025-01-26,Засоби телефонного зв’язку,49
2025-01-27,Засоби електронного зв’язку,3
2025-01-27,Засоби телефонного зв’язку,156
2025-01-28,Засоби телефонного зв’язку,117
2025-01-28,Засоби електронного зв’язку,2
2025-01-29,Засоби електронного зв’язку,1
2025-01-29,Засоби телефонного зв’язку,115
2025-01-30,Засоби телефонного зв’язку,121
2025-01-31,Засоби телефонного зв’язку,100
2025-02-01,Засоби телефонного зв’язку,114
2025-02-02,Засоби електронного зв’язку,1
2025-02-02,Засоби телефонного зв’язку,61
2025-02-03,Засоби телефонного зв’язку,97
2025-02-04,Засоби телефонного зв’язку,97
2025-02-05,Засоби телефонного зв’язку,109
2025-02-06,Засоби телефонного зв’язку,95
2025-02-07,Засоби електронного зв’язку,1
2025-02-07,Засоби телефонного зв’язку,86
2025-02-08,Засоби телефонного зв’язку,70
2025-02-09,Засоби електронного зв’язку,1
2025-02-09,Засоби телефонного зв’язку,50
2025-02-10,Засоби електронного зв’язку,1
2025-02-10,Засоби телефонного зв’язку,114
2025-02-11,Засоби електронного зв’язку,1
2025-02-11,Засоби телефонного зв’язку,102
2025-02-12,Засоби телефонного зв’язку,98
2025-02-13,Засоби телефонного зв’язку,121
2025-02-13,Засоби електронного зв’язку,2
2025-02-14,Засоби електронного зв’язку,2
2025-02-14,Засоби телефонного зв’язку,112
2025-02-15,Засоби телефонного зв’язку,55
2025-02-16,Засоби електронного зв’язку,1
2025-02-16,Засоби телефонного зв’язку,96
2025-02-17,Засоби телефонного зв’язку,108
2025-02-18,Засоби телефонного зв’язку,124
2025-02-19,Засоби електронного зв’язку,3
2025-02-19,Засоби телефонного зв’язку,103
2025-02-20,Засоби телефонного зв’язку,116
2025-02-21,Засоби телефонного зв’язку,116
2025-02-22,Засоби телефонного зв’язку,81
2025-02-23,Засоби телефонного зв’язку,56
2025-02-24,Засоби електронного зв’язку,1
2025-02-24,Засоби телефонного зв’язку,135
2025-02-25,Засоби телефонного зв’язку,102
2025-02-26,Засоби телефонного зв’язку,111
2025-02-27,Засоби електронного зв’язку,3
2025-02-27,Засоби телефонного зв’язку,118
2025-02-28,Засоби телефонного зв’язку,99
2025-02-28,Засоби електронного зв’язку,1
2025-03-01,Засоби телефонного зв’язку,78
2025-03-02,Засоби електронного зв’язку,1
2025-03-02,Засоби телефонного зв’язку,64
2025-03-03,Засоби електронного зв’язку,1
2025-03-03,Засоби телефонного зв’язку,102
2025-03-04,Засоби електронного зв’язку,2
2025-03-04,Засоби телефонного зв’язку,99
2025-03-05,Засоби телефонного зв’язку,101
2025-03-06,Засоби телефонного зв’язку,145
2025-03-07,Засоби телефонного зв’язку,109
2025-03-08,Засоби телефонного зв’язку,95
2025-03-09,Засоби телефонного зв’язку,90
2025-03-10,Засоби електронного зв’язку,1
2025-03-10,Засоби телефонного зв’язку,150
2025-03-11,Засоби електронного зв’язку,1
2025-03-11,Засоби телефонного зв’язку,100
2025-03-12,Засоби телефонного зв’язку,135
2025-03-13,Засоби телефонного зв’язку,114
