Date,appeal_count,data_type,lower_ci,upper_ci,best_model,model_mae,model_rmse,model_r2,model_mape
2025-01-01,53.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-02,100.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-03,95.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-04,81.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-05,69.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-06,103.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-07,111.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-08,113.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-09,99.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-10,98.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-11,68.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-12,65.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-13,103.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-14,104.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-15,120.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-16,105.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-17,95.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-18,74.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-19,63.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-20,159.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-21,129.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-22,110.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-23,122.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-24,134.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-25,79.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-26,49.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-27,159.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-28,119.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-29,116.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-30,121.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-01-31,100.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-01,114.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-02,62.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-03,97.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-04,97.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-05,109.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-06,95.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-07,87.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-02-08,70.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
